Replicate 	Group	Treatment	Bottle	Setup_Date	Experimentor	Embryos	Sex	2021-01-15	2021-01-16	2021-01-18	2021-01-19	2021-01-20	2021-01-22	2021-01-24	2021-01-25	2021-01-26	2021-01-27	Total_Flies
9	Zinc	25mM_ZnCl2	1	2021-01-03	SJM	25	M	0	0	0	NA	0	1	0	0	0	0	1
9	Zinc	25mM_ZnCl2	2	2021-01-03	SJM	25	M	0	0	1	NA	0	1	1	0	0	0	3
9	Zinc	25mM_ZnCl2	3	2021-01-03	SJM	25	M	0	0	1	NA	2	1	0	0	0	0	4
9	Zinc	25mM_ZnCl2	4	2021-01-03	SJM	25	M	0	0	1	NA	2	0	0	2	0	0	5
9	Zinc	25mM_ZnCl2	5	2021-01-03	SJM	25	M	0	0	0	NA	1	0	0	0	0	0	1
9	Zinc	25mM_ZnCl2	6	2021-01-03	SJM	25	M	0	0	1	NA	1	0	0	0	0	0	2
9	Zinc	25mM_ZnCl2	7	2021-01-03	SJM	25	M	0	0	0	NA	1	0	0	0	0	0	1
9	Zinc	25mM_ZnCl2	8	2021-01-03	SJM	25	M	0	0	2	NA	2	1	1	1	0	0	7
9	Zinc	25mM_ZnCl2	9	2021-01-03	SJM	25	M	0	0	1	NA	0	0	0	1	0	0	2
9	Zinc	25mM_ZnCl2	10	2021-01-03	SJM	25	M	0	0	0	NA	1	0	0	0	0	0	1
9	Control	25mM_ZnCl2	1	2021-01-03	SJM	25	M	0	0	0	NA	0	1	0	0	0	0	1
9	Control	25mM_ZnCl2	2	2021-01-03	SJM	25	M	0	0	0	NA	0	1	0	0	0	0	1
9	Control	25mM_ZnCl2	3	2021-01-03	SJM	25	M	0	0	1	NA	0	0	0	0	0	0	1
9	Control	25mM_ZnCl2	4	2021-01-03	SJM	25	M	0	0	0	NA	1	0	0	0	0	0	1
9	Control	25mM_ZnCl2	5	2021-01-03	SJM	25	M	0	0	1	NA	1	1	0	0	0	0	3
9	Control	25mM_ZnCl2	6	2021-01-03	KMH	25	M	0	0	1	NA	1	0	0	0	0	0	2
9	Control	25mM_ZnCl2	7	2021-01-03	KMH	25	M	0	0	0	NA	3	1	0	0	0	0	4
9	Control	25mM_ZnCl2	8	2021-01-03	KMH	25	M	0	0	0	NA	0	0	0	0	0	0	0
9	Control	25mM_ZnCl2	9	2021-01-03	KMH	25	M	0	0	2	NA	2	1	0	0	0	0	5
9	Control	25mM_ZnCl2	10	2021-01-03	KMH	25	M	0	0	1	NA	1	0	0	1	0	0	3
10	Zinc	25mM_ZnCl2	1	2021-01-04	KMH	25	M	0	0	0	NA	0	0	0	0	0	0	0
10	Zinc	25mM_ZnCl2	2	2021-01-04	KMH	25	M	0	0	0	NA	1	0	0	0	0	0	1
10	Zinc	25mM_ZnCl2	3	2021-01-04	KMH	25	M	0	0	0	NA	1	0	0	0	0	0	1
10	Zinc	25mM_ZnCl2	4	2021-01-04	KMH	25	M	0	0	0	NA	2	0	1	0	0	0	3
10	Zinc	25mM_ZnCl2	5	2021-01-04	KMH	25	M	0	0	1	NA	2	0	1	0	0	0	4
10	Zinc	25mM_ZnCl2	6	2021-01-04	KMH	25	M	0	0	1	NA	2	0	0	0	0	0	3
10	Zinc	25mM_ZnCl2	7	2021-01-04	KMH	25	M	0	0	5	NA	1	0	0	0	0	1	7
10	Zinc	25mM_ZnCl2	8	2021-01-04	KMH	25	M	0	0	2	NA	0	0	0	0	0	0	2
10	Zinc	25mM_ZnCl2	9	2021-01-04	KMH	25	M	0	0	0	NA	0	1	0	0	0	0	1
10	Zinc	25mM_ZnCl2	10	2021-01-04	KMH	25	M	0	0	0	NA	2	0	0	0	0	0	2
10	Control	25mM_ZnCl2	1	2021-01-04	KMH	25	M	0	0	0	NA	0	0	0	0	0	1	1
10	Control	25mM_ZnCl2	2	2021-01-04	KMH	25	M	0	0	0	NA	2	0	0	0	0	0	2
10	Control	25mM_ZnCl2	3	2021-01-04	KMH	25	M	0	0	0	NA	1	3	0	0	0	0	4
10	Control	25mM_ZnCl2	4	2021-01-04	KMH	25	M	0	0	0	NA	1	0	0	0	0	0	1
10	Control	25mM_ZnCl2	5	2021-01-04	KMH	25	M	0	0	0	NA	1	0	3	0	0	0	4
10	Control	25mM_ZnCl2	6	2021-01-04	KMH	25	M	0	0	0	NA	0	0	0	0	0	0	0
10	Control	25mM_ZnCl2	7	2021-01-04	KMH	25	M	0	0	0	NA	0	0	0	0	0	0	0
10	Control	25mM_ZnCl2	8	2021-01-04	KMH	25	M	0	0	0	NA	1	0	1	0	0	0	2
10	Control	25mM_ZnCl2	9	2021-01-04	KMH	25	M	0	0	0	NA	2	0	0	0	0	0	2
10	Control	25mM_ZnCl2	10	2021-01-04	KMH	25	M	0	0	0	NA	0	0	0	0	0	0	0
9	Zinc	25mM_ZnCl2	1	2021-01-03	SJM	25	F	0	0	0	NA	2	0	0	0	0	0	2
9	Zinc	25mM_ZnCl2	2	2021-01-03	SJM	25	F	0	0	2	NA	3	0	0	0	0	0	5
9	Zinc	25mM_ZnCl2	3	2021-01-03	SJM	25	F	0	0	5	NA	2	1	0	0	0	0	8
9	Zinc	25mM_ZnCl2	4	2021-01-03	SJM	25	F	0	0	4	NA	1	3	0	0	0	0	8
9	Zinc	25mM_ZnCl2	5	2021-01-03	SJM	25	F	0	0	4	NA	0	1	0	0	0	0	5
9	Zinc	25mM_ZnCl2	6	2021-01-03	SJM	25	F	0	0	0	NA	2	0	0	0	0	0	2
9	Zinc	25mM_ZnCl2	7	2021-01-03	SJM	25	F	0	0	2	NA	0	1	0	0	0	0	3
9	Zinc	25mM_ZnCl2	8	2021-01-03	SJM	25	F	0	0	2	NA	5	0	0	0	0	0	7
9	Zinc	25mM_ZnCl2	9	2021-01-03	SJM	25	F	0	0	0	NA	3	1	0	0	0	0	4
9	Zinc	25mM_ZnCl2	10	2021-01-03	SJM	25	F	0	0	1	NA	2	1	0	0	0	0	4
9	Control	25mM_ZnCl2	1	2021-01-03	SJM	25	F	0	0	0	NA	2	1	0	0	0	0	3
9	Control	25mM_ZnCl2	2	2021-01-03	SJM	25	F	0	0	0	NA	0	0	0	0	0	0	0
