"BC7" "Males" "Females" "DateDDMMYY" "TimeHHMM" "ScanYYMMDDHHMM" "ScanExperimenter"
"1" "2800601" "0" "0" "111122" "1137" "1137" "022"
"2" "2800606" "0" "0" "111122" "1137" "1137" "022"
"3" "2800611" "0" "0" "111122" "1137" "1137" "022"
"4" "2800616" "0" "0" "111122" "1137" "1137" "022"
"5" "2800621" "0" "0" "111122" "1137" "1137" "022"
"6" "2800626" "1" "2" "111122" "1139" "1139" "022"
"7" "2800631" "0" "0" "111122" "1139" "1139" "022"
"8" "2800636" "0" "0" "111122" "1139" "1139" "022"
"9" "2800641" "0" "0" "111122" "1139" "1139" "022"
"10" "2800646" "0" "0" "111122" "1139" "1139" "022"
"11" "2800651" "0" "0" "111122" "1139" "1139" "022"
"12" "2800656" "0" "0" "111122" "1139" "1139" "022"
"13" "2800661" "0" "0" "111122" "1140" "1140" "022"
"14" "2800666" "0" "0" "111122" "1140" "1140" "022"
"15" "2800671" "0" "0" "111122" "1140" "1140" "022"
"16" "2800676" "0" "0" "111122" "1140" "1140" "022"
"17" "2800681" "0" "0" "111122" "1140" "1140" "022"
"18" "2800686" "0" "0" "111122" "1140" "1140" "022"
"19" "2800691" "0" "0" "111122" "1140" "1140" "022"
"20" "2800696" "0" "0" "111122" "1140" "1140" "022"
"21" "2800602" "0" "0" "111122" "1140" "1140" "022"
"22" "2800607" "0" "0" "111122" "1141" "1141" "022"
"23" "2800612" "0" "0" "111122" "1141" "1141" "022"
"24" "2800617" "0" "0" "111122" "1141" "1141" "022"
"25" "2800622" "0" "0" "111122" "1141" "1141" "022"
"26" "2800627" "0" "0" "111122" "1141" "1141" "022"
"27" "2800632" "0" "0" "111122" "1141" "1141" "022"
"28" "2800637" "0" "0" "111122" "1141" "1141" "022"
"29" "2800642" "0" "0" "111122" "1141" "1141" "022"
"30" "2800647" "0" "0" "111122" "1141" "1141" "022"
"31" "2800652" "0" "0" "111122" "1142" "1142" "022"
"32" "2800657" "0" "0" "111122" "1142" "1142" "022"
"33" "2800662" "0" "0" "111122" "1142" "1142" "022"
"34" "2800667" "0" "0" "111122" "1142" "1142" "022"
"35" "2800672" "0" "0" "111122" "1142" "1142" "022"
"36" "2800677" "0" "0" "111122" "1142" "1142" "022"
"37" "2800682" "0" "0" "111122" "1142" "1142" "022"
"38" "2800687" "0" "0" "111122" "1142" "1142" "022"
"39" "2800692" "0" "0" "111122" "1142" "1142" "022"
"40" "2800697" "0" "0" "111122" "1142" "1142" "022"
"41" "2800603" "0" "0" "111122" "1142" "1142" "022"
"42" "2800608" "0" "0" "111122" "1143" "1143" "022"
"43" "2800613" "0" "0" "111122" "1143" "1143" "022"
"44" "2800618" "0" "0" "111122" "1143" "1143" "022"
"45" "2800623" "0" "0" "111122" "1143" "1143" "022"
"46" "2800628" "0" "0" "111122" "1143" "1143" "022"
"47" "2800633" "0" "0" "111122" "1143" "1143" "022"
"48" "2800638" "0" "0" "111122" "1143" "1143" "022"
"49" "2800643" "0" "0" "111122" "1143" "1143" "022"
"50" "2800648" "0" "1" "111122" "1144" "1144" "022"
"51" "2800653" "0" "0" "111122" "1145" "1145" "022"
"52" "2800658" "0" "0" "111122" "1145" "1145" "022"
"53" "2800663" "0" "0" "111122" "1145" "1145" "022"
"54" "2800668" "0" "9" "111122" "1146" "1146" "022"
"55" "2800673" "0" "0" "111122" "1146" "1146" "022"
"56" "2800678" "0" "0" "111122" "1147" "1147" "022"
"57" "2800683" "0" "0" "111122" "1147" "1147" "022"
"58" "2800688" "0" "0" "111122" "1147" "1147" "022"
"59" "2800693" "0" "0" "111122" "1147" "1147" "022"
"60" "2800698" "0" "0" "111122" "1147" "1147" "022"
"61" "2800604" "0" "0" "111122" "1147" "1147" "022"
"62" "2800609" "0" "1" "111122" "1148" "1148" "022"
"63" "2800614" "0" "0" "111122" "1148" "1148" "022"
"64" "2800619" "0" "0" "111122" "1148" "1148" "022"
"65" "2800624" "0" "0" "111122" "1148" "1148" "022"
"66" "2800629" "0" "0" "111122" "1148" "1148" "022"
"67" "2800634" "0" "0" "111122" "1148" "1148" "022"
"68" "2800639" "0" "0" "111122" "1148" "1148" "022"
"69" "2800644" "0" "0" "111122" "1148" "1148" "022"
"70" "2800649" "1" "7" "111122" "1149" "1149" "022"
"71" "2800654" "0" "0" "111122" "1150" "1150" "022"
"72" "2800659" "0" "0" "111122" "1150" "1150" "022"
"73" "2800664" "0" "0" "111122" "1150" "1150" "022"
"74" "2800669" "0" "0" "111122" "1150" "1150" "022"
"75" "2800674" "0" "0" "111122" "1150" "1150" "022"
"76" "2800679" "0" "0" "111122" "1150" "1150" "022"
"77" "2800684" "0" "0" "111122" "1150" "1150" "022"
"78" "2800689" "0" "2" "111122" "1151" "1151" "022"
"79" "2800694" "0" "0" "111122" "1151" "1151" "022"
"80" "2800699" "0" "0" "111122" "1151" "1151" "022"
"81" "2800501" "0" "0" "111122" "1152" "1152" "022"
"82" "2800506" "0" "0" "111122" "1152" "1152" "022"
"83" "2800511" "0" "0" "111122" "1152" "1152" "022"
"84" "2800516" "0" "0" "111122" "1152" "1152" "022"
"85" "2800521" "0" "0" "111122" "1152" "1152" "022"
"86" "2800526" "0" "0" "111122" "1152" "1152" "022"
"87" "2800531" "0" "0" "111122" "1153" "1153" "022"
"88" "2800536" "0" "0" "111122" "1153" "1153" "022"
"89" "2800541" "0" "0" "111122" "1153" "1153" "022"
"90" "2800546" "0" "0" "111122" "1153" "1153" "022"
"91" "2800551" "0" "0" "111122" "1153" "1153" "022"
"92" "2800556" "0" "0" "111122" "1153" "1153" "022"
"93" "2800561" "0" "0" "111122" "1153" "1153" "022"
"94" "2800566" "0" "0" "111122" "1153" "1153" "022"
"95" "2800571" "0" "0" "111122" "1153" "1153" "022"
"96" "2800576" "0" "0" "111122" "1153" "1153" "022"
"97" "2800581" "0" "0" "111122" "1153" "1153" "022"
"98" "2800586" "0" "0" "111122" "1153" "1153" "022"
"99" "2800591" "0" "0" "111122" "1154" "1154" "022"
"100" "2800596" "0" "0" "111122" "1154" "1154" "022"
"101" "2800502" "0" "0" "111122" "1154" "1154" "022"
"102" "2800507" "0" "0" "111122" "1154" "1154" "022"
"103" "2800512" "0" "0" "111122" "1154" "1154" "022"
"104" "2800517" "0" "0" "111122" "1154" "1154" "022"
"105" "2800522" "0" "0" "111122" "1155" "1155" "022"
"106" "2800527" "0" "0" "111122" "1155" "1155" "022"
"107" "2800532" "0" "0" "111122" "1155" "1155" "022"
"108" "2800537" "0" "0" "111122" "1155" "1155" "022"
"109" "2800542" "0" "0" "111122" "1155" "1155" "022"
"110" "2800547" "0" "0" "111122" "1155" "1155" "022"
"111" "2800552" "0" "0" "111122" "1155" "1155" "022"
"112" "2800557" "0" "0" "111122" "1155" "1155" "022"
"113" "2800562" "0" "0" "111122" "1155" "1155" "022"
"114" "2800567" "0" "0" "111122" "1155" "1155" "022"
"115" "2800572" "0" "0" "111122" "1155" "1155" "022"
"116" "2800577" "0" "0" "111122" "1155" "1155" "022"
"117" "2800582" "0" "0" "111122" "1155" "1155" "022"
"118" "2800587" "0" "0" "111122" "1156" "1156" "022"
"119" "2800592" "0" "0" "111122" "1156" "1156" "022"
"120" "2800597" "0" "0" "111122" "1156" "1156" "022"
"121" "2800503" "0" "0" "111122" "1156" "1156" "022"
"122" "2800508" "0" "0" "111122" "1156" "1156" "022"
"123" "2800513" "0" "0" "111122" "1156" "1156" "022"
"124" "2800518" "0" "0" "111122" "1156" "1156" "022"
"125" "2800523" "0" "0" "111122" "1156" "1156" "022"
"126" "2800528" "0" "0" "111122" "1156" "1156" "022"
"127" "2800533" "0" "0" "111122" "1156" "1156" "022"
"128" "2800538" "0" "0" "111122" "1156" "1156" "022"
"129" "2800543" "0" "0" "111122" "1156" "1156" "022"
"130" "2800548" "0" "0" "111122" "1156" "1156" "022"
"131" "2800553" "0" "0" "111122" "1156" "1156" "022"
"132" "2800558" "0" "0" "111122" "1157" "1157" "022"
"133" "2800563" "0" "0" "111122" "1157" "1157" "022"
"134" "2800568" "0" "0" "111122" "1157" "1157" "022"
"135" "2800573" "0" "0" "111122" "1157" "1157" "022"
"136" "2800578" "0" "0" "111122" "1157" "1157" "022"
"137" "2800583" "0" "0" "111122" "1157" "1157" "022"
"138" "2800588" "0" "0" "111122" "1157" "1157" "022"
"139" "2800593" "0" "0" "111122" "1157" "1157" "022"
"140" "2800598" "0" "0" "111122" "1157" "1157" "022"
"141" "2800504" "0" "0" "111122" "1157" "1157" "022"
"142" "2800509" "0" "0" "111122" "1157" "1157" "022"
"143" "2800514" "0" "0" "111122" "1157" "1157" "022"
"144" "2800519" "0" "0" "111122" "1157" "1157" "022"
"145" "2800524" "0" "0" "111122" "1158" "1158" "022"
"146" "2800529" "0" "0" "111122" "1158" "1158" "022"
"147" "2800534" "0" "0" "111122" "1158" "1158" "022"
"148" "2800539" "0" "0" "111122" "1158" "1158" "022"
"149" "2800544" "0" "0" "111122" "1158" "1158" "022"
"150" "2800549" "0" "0" "111122" "1158" "1158" "022"
"151" "2800554" "0" "0" "111122" "1159" "1159" "022"
"152" "2800559" "0" "0" "111122" "1159" "1159" "022"
"153" "2800564" "0" "0" "111122" "1159" "1159" "022"
"154" "2800569" "0" "0" "111122" "1159" "1159" "022"
"155" "2800574" "0" "0" "111122" "1159" "1159" "022"
"156" "2800579" "0" "0" "111122" "1159" "1159" "022"
"157" "2800584" "0" "0" "111122" "1159" "1159" "022"
"158" "2800594" "0" "0" "111122" "1159" "1159" "022"
"159" "2800589" "0" "0" "111122" "1159" "1159" "022"
"160" "2800599" "0" "0" "111122" "1159" "1159" "022"
"161" "2800505" "0" "0" "111122" "1159" "1159" "022"
"162" "2800510" "0" "0" "111122" "1200" "1200" "022"
"163" "2800515" "0" "0" "111122" "1200" "1200" "022"
"164" "2800520" "0" "0" "111122" "1200" "1200" "022"
"165" "2800525" "0" "0" "111122" "1200" "1200" "022"
"166" "2800530" "0" "0" "111122" "1200" "1200" "022"
"167" "2800535" "0" "0" "111122" "1200" "1200" "022"
"168" "2800540" "0" "0" "111122" "1200" "1200" "022"
"169" "2800550" "0" "0" "111122" "1200" "1200" "022"
"170" "2800545" "0" "0" "111122" "1200" "1200" "022"
"171" "2800555" "0" "0" "111122" "1200" "1200" "022"
"172" "2800560" "0" "0" "111122" "1200" "1200" "022"
"173" "2800565" "0" "0" "111122" "1200" "1200" "022"
"174" "2800570" "0" "0" "111122" "1200" "1200" "022"
"175" "2800575" "0" "0" "111122" "1200" "1200" "022"
"176" "2800580" "0" "0" "111122" "1201" "1201" "022"
"177" "2800585" "0" "0" "111122" "1201" "1201" "022"
"178" "2800590" "0" "0" "111122" "1201" "1201" "022"
"179" "2800595" "0" "0" "111122" "1201" "1201" "022"
"180" "2800600" "0" "0" "111122" "1201" "1201" "022"
"181" "2800401" "0" "0" "111122" "1201" "1201" "022"
"182" "2800406" "0" "0" "111122" "1201" "1201" "022"
"183" "2800411" "0" "0" "111122" "1201" "1201" "022"
"184" "2800416" "0" "0" "111122" "1201" "1201" "022"
"185" "2800421" "0" "0" "111122" "1201" "1201" "022"
"186" "2800426" "0" "0" "111122" "1201" "1201" "022"
"187" "2800431" "0" "0" "111122" "1201" "1201" "022"
"188" "2800436" "0" "0" "111122" "1202" "1202" "022"
"189" "2800441" "0" "0" "111122" "1202" "1202" "022"
"190" "2800446" "0" "0" "111122" "1202" "1202" "022"
"191" "2800451" "0" "0" "111122" "1202" "1202" "022"
"192" "2800456" "0" "0" "111122" "1202" "1202" "022"
"193" "2800461" "0" "0" "111122" "1202" "1202" "022"
"194" "2800466" "0" "0" "111122" "1202" "1202" "022"
"195" "2800471" "0" "0" "111122" "1202" "1202" "022"
"196" "2800476" "0" "0" "111122" "1202" "1202" "022"
"197" "2800481" "0" "0" "111122" "1202" "1202" "022"
"198" "2800486" "0" "0" "111122" "1202" "1202" "022"
"199" "2800491" "0" "0" "111122" "1202" "1202" "022"
"200" "2800496" "0" "0" "111122" "1202" "1202" "022"
"201" "2800402" "0" "0" "111122" "1203" "1203" "022"
"202" "2800407" "0" "0" "111122" "1203" "1203" "022"
"203" "2800412" "0" "0" "111122" "1203" "1203" "022"
"204" "2800417" "0" "0" "111122" "1203" "1203" "022"
"205" "2800422" "0" "0" "111122" "1203" "1203" "022"
"206" "2800427" "0" "0" "111122" "1203" "1203" "022"
"207" "2800432" "0" "0" "111122" "1204" "1204" "022"
"208" "2800437" "0" "0" "111122" "1204" "1204" "022"
"209" "2800442" "0" "0" "111122" "1204" "1204" "022"
"210" "2800447" "0" "0" "111122" "1204" "1204" "022"
"211" "2800452" "0" "0" "111122" "1204" "1204" "022"
"212" "2800457" "0" "0" "111122" "1204" "1204" "022"
"213" "2800462" "0" "0" "111122" "1204" "1204" "022"
"214" "2800467" "0" "0" "111122" "1204" "1204" "022"
"215" "2800472" "0" "0" "111122" "1204" "1204" "022"
"216" "2800477" "0" "0" "111122" "1204" "1204" "022"
"217" "2800482" "0" "0" "111122" "1205" "1205" "022"
"218" "2800487" "0" "0" "111122" "1205" "1205" "022"
"219" "2800492" "0" "0" "111122" "1205" "1205" "022"
"220" "2800497" "0" "0" "111122" "1205" "1205" "022"
"221" "2800403" "0" "0" "111122" "1205" "1205" "022"
"222" "2800408" "0" "0" "111122" "1205" "1205" "022"
"223" "2800413" "0" "0" "111122" "1205" "1205" "022"
"224" "2800418" "0" "0" "111122" "1205" "1205" "022"
"225" "2800423" "0" "0" "111122" "1205" "1205" "022"
"226" "2800428" "0" "0" "111122" "1205" "1205" "022"
"227" "2800433" "0" "0" "111122" "1205" "1205" "022"
"228" "2800438" "0" "0" "111122" "1205" "1205" "022"
