Barcode	Population	Treatment	Setup_Date
2800350	Control	H2O	2022-11-18
2800304	Zinc	H2O	2022-11-18
2800345	Control	100mM_Zinc	2022-11-18
2800309	Zinc	100mM_Zinc	2022-11-18
2800354	Control	H2O	2022-11-18
2800398	Zinc	H2O	2022-11-18
2800359	Control	100mM_Zinc	2022-11-18
2800393	Zinc	100mM_Zinc	2022-11-18
2800348	Control	H2O	2022-11-18
2800369	Zinc	H2O	2022-11-18
2800340	Control	100mM_Zinc	2022-11-18
2800343	Control	100mM_Zinc	2022-11-18
2800314	Zinc	100mM_Zinc	2022-11-18
2800364	Zinc	100mM_Zinc	2022-11-18
2800388	Zinc	100mM_Zinc	2022-11-18
2800319	Control	100mM_Zinc	2022-11-18
2800338	Control	100mM_Zinc	2022-11-18
2800335	Control	100mM_Zinc	2022-11-18
2800380	Zinc	100mM_Zinc	2022-11-18
2800330	Zinc	100mM_Zinc	2022-11-18
2800324	Control	100mM_Zinc	2022-11-18
2800333	Control	100mM_Zinc	2022-11-18
2800374	Control	100mM_Zinc	2022-11-18
2800383	Control	100mM_Zinc	2022-11-18
2800378	Zinc	100mM_Zinc	2022-11-18
2800328	Zinc	100mM_Zinc	2022-11-18
2800375	Zinc	100mM_Zinc	2022-11-18
2800329	Control	100mM_Zinc	2022-11-18
2800379	Control	100mM_Zinc	2022-11-18
2800325	Control	100mM_Zinc	2022-11-18
2800318	Zinc	100mM_Zinc	2022-11-18
2800373	Zinc	100mM_Zinc	2022-11-18
2800323	Zinc	100mM_Zinc	2022-11-18
2800368	Zinc	100mM_Zinc	2022-11-18
2800370	Control	100mM_Zinc	2022-11-18
2800334	Control	100mM_Zinc	2022-11-18
2800384	Control	100mM_Zinc	2022-11-18
2800320	Zinc	100mM_Zinc	2022-11-18
2800313	Zinc	100mM_Zinc	2022-11-18
2800363	Zinc	100mM_Zinc	2022-11-18
2800339	Control	100mM_Zinc	2022-11-18
2800389	Control	100mM_Zinc	2022-11-18
2800315	Control	100mM_Zinc	2022-11-18
2800365	Control	100mM_Zinc	2022-11-18
2800344	Zinc	100mM_Zinc	2022-11-18
2800394	Zinc	100mM_Zinc	2022-11-18
2800360	Zinc	100mM_Zinc	2022-11-18
2800310	Zinc	100mM_Zinc	2022-11-18
2800358	Control	100mM_Zinc	2022-11-18
2800355	Control	100mM_Zinc	2022-11-18
2800303	Control	100mM_Zinc	2022-11-18
2800308	Control	100mM_Zinc	2022-11-18
2800399	Zinc	100mM_Zinc	2022-11-18
2800353	Zinc	100mM_Zinc	2022-11-18
2800305	Zinc	100mM_Zinc	2022-11-18
2800349	Zinc	100mM_Zinc	2022-11-18
