"BC7" "NumDead" "DateDDMMYY" "TimeHHMM" "ScanYYMMDDHHMM" "ScanExperimenter"
"1" "2800350" "0" "191122" "1106" "2211191106" "022"
"2" "2800369" "0" "191122" "1106" "2211191106" "022"
"3" "2800304" "0" "191122" "1106" "2211191106" "022"
"4" "2800354" "0" "191122" "1106" "2211191106" "022"
"5" "2800398" "0" "191122" "1106" "2211191106" "022"
"6" "2800348" "0" "191122" "1106" "2211191106" "022"
"7" "2800345" "0" "191122" "1106" "2211191106" "022"
"8" "2800309" "0" "191122" "1106" "2211191106" "022"
"9" "2800359" "0" "191122" "1107" "2211191107" "022"
"10" "2800393" "0" "191122" "1107" "2211191107" "022"
"11" "2800340" "0" "191122" "1107" "2211191107" "022"
"12" "2800343" "1" "191122" "1107" "2211191107" "022"
"13" "2800314" "0" "191122" "1107" "2211191107" "022"
"14" "2800364" "0" "191122" "1107" "2211191107" "022"
"15" "2800388" "0" "191122" "1107" "2211191107" "022"
"16" "2800319" "0" "191122" "1107" "2211191107" "022"
"17" "2800338" "0" "191122" "1108" "2211191108" "022"
"18" "2800335" "0" "191122" "1108" "2211191108" "022"
"19" "2800380" "0" "191122" "1108" "2211191108" "022"
"20" "2800330" "0" "191122" "1108" "2211191108" "022"
"21" "2800324" "0" "191122" "1108" "2211191108" "022"
"22" "2800333" "0" "191122" "1108" "2211191108" "022"
"23" "2800374" "0" "191122" "1108" "2211191108" "022"
"24" "2800383" "0" "191122" "1108" "2211191108" "022"
"25" "2800378" "0" "191122" "1108" "2211191108" "022"
"26" "2800328" "0" "191122" "1109" "2211191109" "022"
"27" "2800375" "0" "191122" "1109" "2211191109" "022"
"28" "2800329" "0" "191122" "1109" "2211191109" "022"
"29" "2800379" "0" "191122" "1109" "2211191109" "022"
"30" "2800325" "0" "191122" "1109" "2211191109" "022"
"31" "2800318" "0" "191122" "1109" "2211191109" "022"
"32" "2800373" "0" "191122" "1109" "2211191109" "022"
"33" "2800323" "0" "191122" "1109" "2211191109" "022"
"34" "2800368" "0" "191122" "1110" "2211191110" "022"
"35" "2800370" "0" "191122" "1110" "2211191110" "022"
"36" "2800334" "0" "191122" "1110" "2211191110" "022"
"37" "2800384" "0" "191122" "1110" "2211191110" "022"
"38" "2800320" "0" "191122" "1110" "2211191110" "022"
"39" "2800313" "0" "191122" "1110" "2211191110" "022"
"40" "2800363" "0" "191122" "1110" "2211191110" "022"
"41" "2800339" "0" "191122" "1110" "2211191110" "022"
"42" "2800389" "0" "191122" "1110" "2211191110" "022"
"43" "2800315" "0" "191122" "1110" "2211191110" "022"
"44" "2800365" "0" "191122" "1111" "2211191111" "022"
"45" "2800344" "0" "191122" "1111" "2211191111" "022"
"46" "2800394" "0" "191122" "1111" "2211191111" "022"
"47" "2800360" "0" "191122" "1111" "2211191111" "022"
"48" "2800310" "1" "191122" "1111" "2211191111" "022"
"49" "2800358" "0" "191122" "1111" "2211191111" "022"
