"Line" "Population" "Treatment" "Setup" "Sex" "Embryo" "Total_Flies" "Dates" "Counts"
"1" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.12" 0
"2" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.13" 0
"3" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.14" 0
"4" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.15" 0
"5" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.16" 1
"6" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.17" 0
"7" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.18" 0
"8" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.19" 0
"9" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.20" 0
"10" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.21" 0
"11" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.22" 0
"12" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.23" 0
"13" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.24" 0
"14" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.25" 0
"15" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.26" 0
"16" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.27" 0
"17" 2 "9C" "10mM" "2021-12-01" "M" 25 1 "X2021.12.28" 0
"18" 2 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.12" 0
"19" 2 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.13" 0
"20" 2 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.14" 0
"21" 2 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.15" 1
"22" 2 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.16" 0
"23" 2 "9C" "10mM" "2021-12-01" "F" 25 2 "X2021.12.17" 0
