Block	Setup_date	Treatment	Bottle_Number	Zinc_Batch	Total_Num_Females	Total_Num_Males	Collection1_Date	Collection1_DayAfterSetup	Collection1_Num_Females	Collection1_Num_Males	Collection2_Date	Collection2_DayAfterSetup	Collection2_Num_Females	Collection2_Num_Males	Collection3_Date	Collection3_DayAfterSetup	Collection3_Num_Females	Collection3_Num_Males	Collection4_Date	Collection4_DayAfterSetup	Collection4_Num_Females	Collection4_Num_aMales	Collection5_Date	Collection5_DayAfterSetup	Collection5_Num_Females	Collection5_Num_Males	Collection6_Date	Collection 6_DayAfterSetup	Collect6_Num_Females	Collection6_Num_Males
1	10/1/2020	Control_H20	1	NA	124	106	10/12/2020	11	30	19	10/13/2020	12	49	58	10/15/2020	14	34	22	10/16/2020	15	11	7	NA	NA	NA	NA				
1	10/1/2020	Control_H20	2	NA	143	111	10/12/2020	11	15	7	10/13/2020	12	37	27	10/15/2020	14	65	65	10/16/2020	15	26	12	NA	NA	NA	NA				
1	10/1/2020	Control_H20	3	NA	136	119	10/12/2020	11	28	15	10/13/2020	12	45	48	10/15/2020	14	50	42	10/16/2020	15	13	14	NA	NA	NA	NA				
1	10/1/2020	Control_H20	4	NA	120	110	10/12/2020	11	11	12	10/13/2020	12	61	65	10/15/2020	14	26	22	10/16/2020	15	22	11	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	1	A	33	15	10/16/2020	15	10	5	10/19/2020	18	16	7	10/21/2020	20	6	3	10/23/2020	22	1	0	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	2	A	31	17	10/16/2020	15	10	6	10/19/2020	18	12	2	10/21/2020	20	6	5	10/23/2020	22	3	4	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	3	A	21	11	10/16/2020	15	4	3	10/19/2020	18	9	4	10/21/2020	20	6	3	10/23/2020	22	2	1	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	4	A	13	6	10/16/2020	15	0	0	10/19/2020	18	5	0	10/21/2020	20	5	4	10/23/2020	22	3	2	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	5	A	11	4	10/16/2020	15	1	0	10/19/2020	18	3	1	10/21/2020	20	5	3	10/23/2020	22	2	0	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	6	A	16	12	10/16/2020	15	0	0	10/19/2020	18	12	10	10/21/2020	20	2	2	10/23/2020	22	2	0	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	7	A	23	12	10/16/2020	15	7	2	10/19/2020	18	9	6	10/21/2020	20	3	4	10/23/2020	22	4	0	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	8	A	7	7	10/16/2020	15	0	0	10/19/2020	18	1	3	10/21/2020	20	4	0	10/23/2020	22	2	4	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	9	B	38	12	10/16/2020	15	14	2	10/19/2020	18	9	4	10/21/2020	20	12	4	10/23/2020	22	3	2	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	10	B	20	10	10/16/2020	15	0	0	10/19/2020	18	11	4	10/21/2020	20	7	5	10/23/2020	22	2	1	NA	NA	NA	NA				
1	10/1/2020	Zinc_25mM	11	B	32	7	10/16/2020	15	7	0	10/19/2020	18	18	6	10/21/2020	20	3	1	10/23/2020	22	4	0	NA	NA	NA	NA				
