"BC7" "Father" "Balancer" "Effect" "QTL" "UAS_Chromosome" "Setup_Date" "Treatment" "Embryo" "Males" "Females" "Formatted_Date" "Toss_Date" "Day30" "Rep"
"1" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-04" "2022-06-24" "2022-06-24" "R1"
"2" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-05" "2022-06-24" "2022-06-24" "R1"
"3" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-06" "2022-06-24" "2022-06-24" "R1"
"4" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-07" "2022-06-24" "2022-06-24" "R1"
"5" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 6 "2022-06-08" "2022-06-24" "2022-06-24" "R1"
"6" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-09" "2022-06-24" "2022-06-24" "R1"
"7" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 2 "2022-06-10" "2022-06-24" "2022-06-24" "R1"
"8" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 1 0 "2022-06-11" "2022-06-24" "2022-06-24" "R1"
"9" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 1 "2022-06-12" "2022-06-24" "2022-06-24" "R1"
"10" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-13" "2022-06-24" "2022-06-24" "R1"
"11" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 1 "2022-06-14" "2022-06-24" "2022-06-24" "R1"
"12" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-15" "2022-06-24" "2022-06-24" "R1"
"13" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-16" "2022-06-24" "2022-06-24" "R1"
"14" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-17" "2022-06-24" "2022-06-24" "R1"
"15" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-18" "2022-06-24" "2022-06-24" "R1"
"16" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-19" "2022-06-24" "2022-06-24" "R1"
"17" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-20" "2022-06-24" "2022-06-24" "R1"
"18" 1 "36304" "No" "Control_attP40" "Control" "Chr2" "2022-05-25" "10mM" 50 0 0 "2022-06-23" "2022-06-24" "2022-06-24" "R1"
"19" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 0 0 "2022-06-04" "2022-06-16" "2022-06-24" "R1"
"20" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 0 3 "2022-06-05" "2022-06-16" "2022-06-24" "R1"
"21" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 1 5 "2022-06-06" "2022-06-16" "2022-06-24" "R1"
"22" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 6 0 "2022-06-07" "2022-06-16" "2022-06-24" "R1"
"23" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 2 0 "2022-06-08" "2022-06-16" "2022-06-24" "R1"
"24" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 0 0 "2022-06-09" "2022-06-16" "2022-06-24" "R1"
"25" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 0 0 "2022-06-10" "2022-06-16" "2022-06-24" "R1"
"26" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 0 0 "2022-06-11" "2022-06-16" "2022-06-24" "R1"
"27" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 0 0 "2022-06-12" "2022-06-16" "2022-06-24" "R1"
"28" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 0 0 "2022-06-13" "2022-06-16" "2022-06-24" "R1"
"29" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 0 0 "2022-06-14" "2022-06-16" "2022-06-24" "R1"
"30" 10 "40948" "No" "RanBP3_KD" "F" "Chr2" "2022-05-25" "H2O" 50 0 0 "2022-06-15" "2022-06-16" "2022-06-24" "R1"
"31" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-04" "2022-06-17" "2022-06-25" "R1"
"32" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-05" "2022-06-17" "2022-06-25" "R1"
"33" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 3 "2022-06-06" "2022-06-17" "2022-06-25" "R1"
"34" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 3 1 "2022-06-07" "2022-06-17" "2022-06-25" "R1"
"35" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 4 2 "2022-06-08" "2022-06-17" "2022-06-25" "R1"
"36" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-09" "2022-06-17" "2022-06-25" "R1"
"37" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 2 "2022-06-10" "2022-06-17" "2022-06-25" "R1"
"38" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-11" "2022-06-17" "2022-06-25" "R1"
"39" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-12" "2022-06-17" "2022-06-25" "R1"
"40" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-13" "2022-06-17" "2022-06-25" "R1"
"41" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-14" "2022-06-17" "2022-06-25" "R1"
"42" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-15" "2022-06-17" "2022-06-25" "R1"
"43" 100 "38999" "Sb" "dj-1B_KD" "G" "Chr3" "2022-05-26" "H2O" 50 0 0 "2022-06-16" "2022-06-17" "2022-06-25" "R1"
"44" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-04" "2022-06-19" "2022-06-25" "R1"
"45" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-05" "2022-06-19" "2022-06-25" "R1"
"46" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 0 "2022-06-06" "2022-06-19" "2022-06-25" "R1"
"47" 101 "26003" "No" "pHCl-2_KD" "G" "Chr3" "2022-05-26" "10mM" 50 0 1 "2022-06-07" "2022-06-19" "2022-06-25" "R1"
