Gene	Class	CHROM	LeftEnd_BP	RightEnd_BP	Chromosome_Recomb	Pos_cM
ZnT33D	ZnT	chr2L	12164241	12166704	2	46
ZnT35C	ZnT	chr2L	15228728	15247714	2	51
ZnT41F	ZnT	chr2R	5774776	5782858	2	55
ZnT49B	ZnT	chr2R	12652805	12655743	2	67
ZnT63C	ZnT	chr3L	3303708	3314009	3	7
ZnT77C	ZnT	chr3L	20484293	20494921	3	47
ZnT86D	ZnT	chr3R	11212308	11214539	3	50
Catsup	ZIP	chr2L	19041862	19043614	2	54
foi	ZIP	chr3L	8525244	8534508	3	26
Zip42C.1	ZIP	chr2R	6716342	6717707	2	55
Zip42C.2	ZIP	chr2R	6718196	6719533	2	55
Zip48C	ZIP	chr2R	11899517	11901394	2	65
Zip71B	ZIP	chr3L	14992289	14997983	3	42
Zip88E	ZIP	chr3R	15268662	15270532	3	56
Zip89B	ZIP	chr3R	16305758	16308700	3	58
Zip99C	ZIP	chr3R	29863701	29868895	3	99
Zip102B	ZIP	chr4	310930	314087	4	0
MtnA	Mtn	chr3R	9783407	9784370	3	49
MtnB	Mtn	chr3R	20503102	20503746	3	68
MtnC	Mtn	chr3R	20360308	20360634	3	68
MtnD	Mtn	chr3R	20534962	20535301	3	69
MtnE	Mtn	chr3R	20534021	20534704	3	69
MtnF	Mtn	chr3R	24634625	24635165	3	85
MTF-1	TF	chr3L	9430312	9439490	3	29
